GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
311,104,3,3,2,8,1
314,105,3,3,2,8,0
316,104,3,3,3,8,1
317,107,3,4,3,8,0
324,107,4,4,4,8,1
327,111,4,4,4,9,1
328,112,4,4,4,9,1
330,115,5,4,3,9,1
307,108,2,4,3,7,0
310,99,2,1,2,7,0
313,107,2,2,2,8,1
321,110,3,3,5,8,1
327,103,3,4,4,8,1
329,114,5,4,5,9,1
331,112,5,4,5,9,1
338,118,4,3,4,9,1
300,99,1,3,2,6,1
307,101,3,4,3,8,0
322,110,3,3,3,8,0
324,112,4,4,2,8,1
327,114,3,3,3,9,0
332,118,5,5,5,9,1
334,116,4,4,3,8,1
294,93,1,1,2,7,0
296,95,2,3,2,7,1
299,97,3,5,3,7,0
306,100,2,3,3,8,0
312,105,3,2,3,8,1
314,108,3,4,3,8,0
315,106,3,4,3,8,0
323,113,3,4,4,8,1
340,120,4,5,5,9,1
304,103,5,5,4,8,0
305,108,5,3,3,8,0
312,105,2,2,3,8,0
320,110,2,4,3,8,0
321,109,4,4,4,8,1
334,119,5,4,4,9,1
309,105,5,3,3,8,0
312,103,3,5,4,8,0
314,109,4,3,4,8,1
320,113,2,2,2,8,1
323,112,5,4,4,8,0
325,112,2,3,3,8,1
326,112,3,3,3,9,1
326,116,2,4,3,9,1
331,115,5,4,3,9,1
333,113,5,4,4,9,1
333,118,5,5,5,9,1
293,97,2,2,4,7,1
298,99,1,1,3,7,0
306,106,2,2,2,8,0
312,101,2,2,3,8,1
321,112,5,5,5,9,1
322,110,5,4,4,8,0
299,100,2,3,3,7,0
300,104,3,3,3,8,0
307,107,2,3,3,8,1
316,109,3,3,3,8,0
322,114,5,4,4,8,1
331,115,5,4,3,9,1
336,118,5,4,5,9,1
305,105,2,3,2,8,0
315,99,2,3,3,7,0
317,103,3,2,3,8,1
322,112,4,4,4,9,1
328,110,4,5,4,9,1
334,120,5,4,5,9,1
304,100,2,2,3,8,0
311,104,2,2,3,8,0
313,104,3,4,4,8,0
316,105,3,3,3,8,0
321,111,3,3,4,8,1
324,110,3,3,4,8,1
324,111,4,3,3,9,1
325,114,3,3,3,9,1
328,110,4,4,2,9,1
307,110,4,4,4,8,0
308,103,2,2,4,8,1
308,108,4,4,5,8,0
309,99,3,4,4,8,0
312,104,3,3,4,8,0
312,105,2,2,2,8,0
314,107,3,3,3,8,1
316,99,2,2,3,9,0
324,111,3,2,1,8,1
325,110,2,3,2,8,1
327,113,4,4,5,9,0
331,119,4,5,4,9,1
308,103,2,3,3,8,0
312,106,3,4,3,8,1
313,109,3,4,3,9,0
314,104,4,5,5,9,0
317,100,2,3,2,8,0
317,110,3,4,4,9,1
321,111,3,2,3,8,1
331,116,5,4,4,9,1
300,99,1,1,2,8,0
308,104,2,2,3,8,0
308,110,4,3,3,8,0
311,107,4,4,4,9,1
321,109,3,3,3,8,1
323,107,3,3,3,8,1
323,110,3,4,3,9,1
324,111,3,2,2,8,1
327,113,4,3,3,8,1
299,94,1,1,1,7,0
326,116,3,3,4,9,1
297,98,2,2,3,7,0
298,92,1,2,2,7,0
300,102,3,3,2,8,0
313,102,3,3,4,8,1
315,105,2,2,2,7,0
317,106,2,2,3,8,0
320,104,3,3,4,8,1
321,109,3,3,3,8,1
325,110,4,3,4,8,1
327,109,3,3,4,8,1
330,114,4,4,3,9,1
334,116,4,4,3,9,1
336,119,4,4,4,9,1
302,101,2,2,3,7,0
304,101,2,2,2,7,0
318,106,3,2,3,8,0
320,108,3,3,4,8,1
322,104,3,3,4,8,1
324,110,4,4,4,9,1
326,112,4,4,3,9,1
330,116,4,5,4,9,1
